Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Main Flow Step 6,Настройка характеристик: Мерчант выбирает редкость из радиокнопок → Устанавливает качество слайдером → Добавляет теги через чипсы,20,2.5,Высокий,Высокая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

tagId - Уникальный идентификатор тега
name - Название тега
type - Тип тега (редкость/качество/класс)
value - Значение тега
color - Цвет тега
description - Описание тега"
USE CASE,Main Flow Step 7,Настройка ценообразования: Мерчант вводит базовую цену → Выбирает валюту из списка → Настраивает скидки через календарь,16,2,Высокий,Средняя,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Main Flow Step 8,Локализация контента: Мерчант переходит на вкладку "Локализация" → Выбирает языки из мультиселекта → Переводит название и описание,28,3.5,Высокий,Высокая,"localizationId - Уникальный идентификатор локализации
productId - Ссылка на товар
language - Язык
region - Регион
localizedName - Локализованное название
localizedDescription - Локализованное описание
culturalAdaptations - Культурные адаптации
lastUpdated - Дата последнего обновления"
USE CASE,Main Flow Step 9,Предварительный просмотр: Мерчант нажимает "Предпросмотр" → Система показывает как товар будет выглядеть в магазине → Позволяет протестировать на разных устройствах,8,1,Высокий,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

mediaId - Уникальный идентификатор медиа
productId - Ссылка на товар
type - Тип медиа (изображение/видео/3D модель)
url - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
fileSize - Размер файла
format - Формат файла
uploadedAt - Дата загрузки"
USE CASE,Main Flow Step 10,Публикация товара: Мерчант нажимает кнопку "Опубликовать" → Система показывает подтверждение → Активирует товар в магазине,8,1,Высокий,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета"
USE CASE,Alternative Flow A1,Редактирование существующего товара: Мерчант кликает на карточку товара → Система открывает форму редактирования → Показывает текущие настройки,16,2,Высокий,Средняя,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

categoryId - Уникальный идентификатор категории
name - Название категории
parentId - Родительская категория
description - Описание категории
sortOrder - Порядок сортировки
isActive - Флаг активности

mediaId - Уникальный идентификатор медиа
productId - Ссылка на товар
type - Тип медиа (изображение/видео/3D модель)
url - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
fileSize - Размер файла
format - Формат файла
uploadedAt - Дата загрузки

tagId - Уникальный идентификатор тега
name - Название тега
type - Тип тега (редкость/качество/класс)
value - Значение тега
color - Цвет тега
description - Описание тега"
USE CASE,Alternative Flow A2,Массовое редактирование: Мерчант выбирает несколько товаров чекбоксами → Нажимает "Массовое редактирование" → Применяет изменения ко всем выбранным,20,2.5,Средний,Средняя,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

categoryId - Уникальный идентификатор категории
name - Название категории
parentId - Родительская категория
description - Описание категории
sortOrder - Порядок сортировки
isActive - Флаг активности

pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Alternative Flow A3,Клонирование товара: Мерчант нажимает "Дублировать" → Система создает копию → Открывает форму редактирования копии,12,1.5,Средний,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара"
USE CASE,Exception Flow E1,Ошибка валидации формы: Система обнаруживает некорректные данные → Подсвечивает поля с ошибками → Показывает сообщения об ошибках,8,1,Высокий,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара"
USE CASE,Exception Flow E2,Ошибка загрузки медиа: Система не может загрузить файлы → Показывает альтернативные форматы → Мерчант выбирает подходящий формат,12,1.5,Высокий,Средняя,"mediaId - Уникальный идентификатор медиа
productId - Ссылка на товар
type - Тип медиа (изображение/видео/3D модель)
url - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
fileSize - Размер файла
format - Формат файла
uploadedAt - Дата загрузки"
USE CASE,Exception Flow E3,Конфликт цен: Система обнаруживает конфликт в ценообразовании → Предупреждает мерчанта → Предлагает варианты решения,8,1,Средний,Низкая,"pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Postcondition Success,Товар создан и настроен Медиа-контент загружен Цены локализованы Товар доступен в магазине,0,0,Высокий,Высокая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара

categoryId - Уникальный идентификатор категории
name - Название категории
parentId - Родительская категория
description - Описание категории
sortOrder - Порядок сортировки
isActive - Флаг активности

mediaId - Уникальный идентификатор медиа
productId - Ссылка на товар
type - Тип медиа (изображение/видео/3D модель)
url - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
fileSize - Размер файла
format - Формат файла
uploadedAt - Дата загрузки

pricingId - Уникальный идентификатор цены
productId - Ссылка на товар
basePrice - Базовая цена
currency - Валюта
region - Регион
discountPercent - Процент скидки
salePrice - Цена со скидкой
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности

localizationId - Уникальный идентификатор локализации
productId - Ссылка на товар
language - Язык
region - Регион
localizedName - Локализованное название
localizedDescription - Локализованное описание
culturalAdaptations - Культурные адаптации
lastUpdated - Дата последнего обновления

inventoryId - Уникальный идентификатор записи инвентаря
productId - Ссылка на товар
quantity - Количество на складе
reservedQuantity - Зарезервированное количество
availableQuantity - Доступное количество
minThreshold - Минимальный порог
maxThreshold - Максимальный порог
regionRestrictions - Ограничения по регионам
lastUpdated - Дата последнего обновления

analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета"
USE CASE,Postcondition Failure,Товар не создан или содержит ошибки Данные сохраняются как черновик Мерчант получает уведомление об ошибках,0,0,Высокий,Высокая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
type - Тип товара (скин/оружие/предмет)
status - Статус (активен/неактивен/черновик)
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор товара"
USE CASE,Ключевые метрики,Время создания товара Количество итераций Качество медиа-контента Точность локализации,0,0,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
productId - Ссылка на товар
views - Количество просмотров
purchases - Количество покупок
conversionRate - Конверсия
revenue - Выручка
lastCalculated - Дата последнего расчета"
USE CASE,Приоритет,Высокий,0,0,Высокий,Высокая,
USE CASE,Сложность,Высокая,0,0,Высокий,Высокая,
USE CASE,Зависимости,UI Components File Upload Media Player Form Builder,0,0,Высокий,Высокая,
USE CASE,Общая оценка (Use Case),,152,19,Высокий,Высокая,
