Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Main Flow Step 6,Тестирование потока: Мерчант запускает симуляцию → Система выполняет поток с тестовыми данными → Мерчант проверяет корректность логики,20,2.5,Высокий,Средняя,"executionId - Уникальный идентификатор выполнения
flowId - Ссылка на поток
startTime - Время начала
endTime - Время окончания
status - Статус выполнения
resultData - Данные результата
errorLog - Лог ошибок
performanceMetrics - Метрики производительности

validationId - Уникальный идентификатор валидации
flowId - Ссылка на поток
timestamp - Время валидации
status - Статус валидации
errors - Список ошибок
warnings - Предупреждения
suggestions - Рекомендации"
USE CASE,Main Flow Step 7,Сохранение и публикация: Мерчант сохраняет поток → Система валидирует логику → Мерчант публикует поток для использования,12,1.5,Высокий,Средняя,"flowId - Уникальный идентификатор потока
name - Название потока
description - Описание потока
status - Статус (активен/неактивен/черновик)
version - Версия потока
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор потока

validationId - Уникальный идентификатор валидации
flowId - Ссылка на поток
timestamp - Время валидации
status - Статус валидации
errors - Список ошибок
warnings - Предупреждения
suggestions - Рекомендации"
USE CASE,Alternative Flow A1,Редактирование существующего потока: Мерчант открывает сохраненный поток → Система загружает узлы и связи → Мерчант изменяет параметры и логику,16,2,Высокий,Средняя,"flowId - Уникальный идентификатор потока
name - Название потока
description - Описание потока
status - Статус (активен/неактивен/черновик)
version - Версия потока
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор потока

nodeId - Уникальный идентификатор узла
flowId - Ссылка на поток
type - Тип узла (триггер/действие/условие)
position - Позиция на canvas
parameters - Параметры узла
connections - Связи с другими узлами
inputOutput - Входы и выходы

connectionId - Уникальный идентификатор связи
sourceNodeId - Исходный узел
targetNodeId - Целевой узел
conditionType - Тип условия перехода
conditionValue - Значение условия
priority - Приоритет связи"
USE CASE,Alternative Flow A2,Использование шаблонов: Мерчант выбирает шаблон потока → Система загружает готовую структуру → Мерчант адаптирует шаблон под свои нужды,20,2.5,Средний,Средняя,"templateId - Уникальный идентификатор шаблона
name - Название шаблона
category - Категория шаблона
description - Описание шаблона
structure - Структура потока
usageCount - Количество использований
rating - Рейтинг шаблона

flowId - Уникальный идентификатор потока
name - Название потока
description - Описание потока
status - Статус (активен/неактивен/черновик)
version - Версия потока
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор потока"
USE CASE,Alternative Flow A3,Клонирование потоков: Мерчант клонирует существующий поток → Система создает копию → Мерчант модифицирует копию для новой кампании,8,1,Средний,Низкая,"flowId - Уникальный идентификатор потока
name - Название потока
description - Описание потока
status - Статус (активен/неактивен/черновик)
version - Версия потока
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор потока"
USE CASE,Exception Flow E1,Ошибка валидации: Система обнаруживает логические ошибки → Отображает предупреждения → Мерчант исправляет ошибки,8,1,Высокий,Низкая,"validationId - Уникальный идентификатор валидации
flowId - Ссылка на поток
timestamp - Время валидации
status - Статус валидации
errors - Список ошибок
warnings - Предупреждения
suggestions - Рекомендации"
USE CASE,Exception Flow E2,Циклические зависимости: Система обнаруживает бесконечные циклы → Предупреждает мерчанта → Предлагает варианты исправления,12,1.5,Высокий,Средняя,"validationId - Уникальный идентификатор валидации
flowId - Ссылка на поток
timestamp - Время валидации
status - Статус валидации
errors - Список ошибок
warnings - Предупреждения
suggestions - Рекомендации

connectionId - Уникальный идентификатор связи
sourceNodeId - Исходный узел
targetNodeId - Целевой узел
conditionType - Тип условия перехода
conditionValue - Значение условия
priority - Приоритет связи"
USE CASE,Exception Flow E3,Недоступность узлов: Система не может загрузить определенные узлы → Показывает альтернативы → Мерчант выбирает замену,4,0.5,Средний,Низкая,"nodeId - Уникальный идентификатор узла
flowId - Ссылка на поток
type - Тип узла (триггер/действие/условие)
position - Позиция на canvas
parameters - Параметры узла
connections - Связи с другими узлами
inputOutput - Входы и выходы"
USE CASE,Postcondition Success,Поток промо-предложений создан и протестирован Логика валидирована и готова к публикации Система может выполнять поток автоматически,0,0,Высокий,Высокая,"flowId - Уникальный идентификатор потока
name - Название потока
description - Описание потока
status - Статус (активен/неактивен/черновик)
version - Версия потока
createdAt - Дата создания
updatedAt - Дата обновления
author - Автор потока

executionId - Уникальный идентификатор выполнения
flowId - Ссылка на поток
startTime - Время начала
endTime - Время окончания
status - Статус выполнения
resultData - Данные результата
errorLog - Лог ошибок
performanceMetrics - Метрики производительности"
USE CASE,Postcondition Failure,Поток содержит ошибки или не может быть выполнен Система требует исправления логики Мерчант получает детальные сообщения об ошибках,0,0,Высокий,Высокая,"validationId - Уникальный идентификатор валидации
flowId - Ссылка на поток
timestamp - Время валидации
status - Статус валидации
errors - Список ошибок
warnings - Предупреждения
suggestions - Рекомендации"
USE CASE,Ключевые метрики,Время создания потока Сложность логики Количество узлов и связей Процент успешных валидаций,0,0,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
flowId - Ссылка на поток
period - Период анализа
executionCount - Количество выполнений
successRate - Процент успешных выполнений
performanceMetrics - Метрики производительности
userFeedback - Отзывы пользователей"
USE CASE,Приоритет,Высокий,0,0,Высокий,Высокая,
USE CASE,Сложность,Высокая,0,0,Высокий,Высокая,
USE CASE,Зависимости,Visual Editor Engine Validation Service Flow Execution Engine Event Bus,0,0,Высокий,Высокая,
USE CASE,Общая оценка (Use Case),,176,22,Высокий,Высокая,
