Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Alternative Flow A4,Персонализированные рекомендации: Система анализирует поведение → Показывает рекомендуемые ссылки → Предлагает релевантный контент,6,0.75,Низкий,Низкая,"linkRecommendationId - Уникальный идентификатор рекомендации ссылки
playerId - Ссылка на игрока
recommendedLinkId - Ссылка на рекомендуемую ссылку
recommendationReason - Причина рекомендации
confidence - Уверенность в рекомендации
isViewed - Флаг просмотра"
USE CASE,Exception Flow E1,Ссылка недоступна: Внешняя ссылка не работает → Система показывает ошибку → Предлагает альтернативные варианты,4,0.5,Низкий,Низкая,"externalLinkId - Уникальный идентификатор внешней ссылки
linkName - Название ссылки
linkUrl - URL ссылки
description - Описание ссылки
categoryId - Ссылка на категорию
iconUrl - URL иконки
isVerified - Флаг верификации безопасности"
USE CASE,Exception Flow E2,Небезопасная ссылка: Система обнаруживает потенциальную угрозу → Показывает предупреждение → Блокирует переход,6,0.75,Низкий,Низкая,"linkSecurityId - Уникальный идентификатор безопасности ссылки
linkId - Ссылка на внешнюю ссылку
securityStatus - Статус безопасности (безопасна/подозрительна/небезопасна)
threatLevel - Уровень угрозы
lastChecked - Время последней проверки
isBlocked - Флаг блокировки"
USE CASE,Exception Flow E3,Ошибка загрузки: Список ссылок не загружается → Система показывает ошибку → Предлагает обновить страницу,4,0.5,Низкий,Низкая,"externalLinksId - Уникальный идентификатор раздела внешних ссылок
playerId - Ссылка на игрока
availableCategories - Список доступных категорий
favoriteLinks - Список избранных ссылок
lastVisited - Последняя посещенная ссылка
isActive - Флаг активности"
USE CASE,Postcondition Success,Ссылка открыта История обновлена Аналитика записана,0,0,Низкий,Низкая,"linkClickId - Уникальный идентификатор клика по ссылке
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
clickTime - Время клика
referrerUrl - URL источника перехода
isNewTab - Флаг открытия в новой вкладке

externalLinkId - Уникальный идентификатор внешней ссылки
linkName - Название ссылки
linkUrl - URL ссылки
description - Описание ссылки
categoryId - Ссылка на категорию
iconUrl - URL иконки
isVerified - Флаг верификации безопасности

linkCategoryId - Уникальный идентификатор категории ссылок
categoryName - Название категории
description - Описание категории
linkCount - Количество ссылок в категории
iconUrl - URL иконки категории
displayOrder - Порядок отображения
isActive - Флаг активности

favoriteLinkId - Уникальный идентификатор избранной ссылки
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
addedAt - Время добавления
isActive - Флаг активности
displayOrder - Порядок в избранном

linkHistoryId - Уникальный идентификатор истории ссылок
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
visitedAt - Время посещения
visitCount - Количество посещений
lastVisited - Время последнего посещения

linkSearchId - Уникальный идентификатор поиска по ссылкам
playerId - Ссылка на игрока
searchQuery - Поисковый запрос
results - Список найденных ссылок
filters - Примененные фильтры
executedAt - Время выполнения поиска

linkShareId - Уникальный идентификатор публикации ссылки
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
shareType - Тип публикации (ссылка/описание)
platform - Платформа (Twitter/Facebook/Instagram)
sharedAt - Время публикации

linkReportId - Уникальный идентификатор отчета о ссылке
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
reportType - Тип проблемы (не работает/небезопасна/устарела)
reportDescription - Описание проблемы
reportedAt - Время отправки отчета

linkRecommendationId - Уникальный идентификатор рекомендации ссылки
playerId - Ссылка на игрока
recommendedLinkId - Ссылка на рекомендуемую ссылку
recommendationReason - Причина рекомендации
confidence - Уверенность в рекомендации
isViewed - Флаг просмотра

linkSecurityId - Уникальный идентификатор безопасности ссылки
linkId - Ссылка на внешнюю ссылку
securityStatus - Статус безопасности (безопасна/подозрительна/небезопасна)
threatLevel - Уровень угрозы
lastChecked - Время последней проверки
isBlocked - Флаг блокировки

externalLinksId - Уникальный идентификатор раздела внешних ссылок
playerId - Ссылка на игрока
availableCategories - Список доступных категорий
favoriteLinks - Список избранных ссылок
lastVisited - Последняя посещенная ссылка
isActive - Флаг активности

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (клик/поиск/добавление в избранное)
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Postcondition Failure,Ссылка не открыта Ошибка загрузки Игрок получает уведомление об ошибке,0,0,Низкий,Низкая,"linkClickId - Уникальный идентификатор клика по ссылке
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
clickTime - Время клика
referrerUrl - URL источника перехода
isNewTab - Флаг открытия в новой вкладке"
USE CASE,Ключевые метрики,Частота использования ссылок Популярность категорий Безопасность переходов,0,0,Низкий,Низкая,"analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (клик/поиск/добавление в избранное)
playerId - Ссылка на игрока
linkId - Ссылка на внешнюю ссылку
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Приоритет,Низкий,0,0,Низкий,Низкая,
USE CASE,Сложность,Низкая,0,0,Низкий,Низкая,
USE CASE,Зависимости,Link Validator Security Scanner Browser Integration,0,0,Низкий,Низкая,
USE CASE,Общая оценка (Use Case),,58,7.25,Низкий,Низкая,



