Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Alternative Flow A1,Создание кастомного дашборда: Мерчант нажимает "Новый дашборд" → Система открывает конструктор → Позволяет создать персональный дашборд,16,2,Средний,Высокая,"dashboardId - Уникальный идентификатор дашборда
name - Название дашборда
description - Описание дашборда
layout - JSON макет виджетов
isDefault - Флаг по умолчанию
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Alternative Flow A2,Сравнение периодов: Мерчант выбирает "Сравнить периоды" → Система показывает параллельные графики → Позволяет анализировать тренды,12,1.5,Средний,Средняя,"chartId - Уникальный идентификатор графика
dashboardId - Ссылка на дашборд
chartType - Тип графика (линейный/столбчатый/круговой)
dataSource - Источник данных
xAxis - Ось X
yAxis - Ось Y
refreshInterval - Интервал обновления
isInteractive - Флаг интерактивности"
USE CASE,Alternative Flow A3,Настройка алертов: Мерчант нажимает на иконку "Уведомления" → Система открывает настройки алертов → Позволяет настроить уведомления по метрикам,10,1.25,Средний,Низкая,"alertId - Уникальный идентификатор алерта
dashboardId - Ссылка на дашборд
metricId - Ссылка на метрику
threshold - Пороговое значение
condition - Условие (больше/меньше/равно)
notificationChannels - Каналы уведомлений
isActive - Флаг активности"
USE CASE,Exception Flow E1,Ошибка загрузки данных: Система не может загрузить данные → Показывает сообщение об ошибке → Предлагает повторить попытку,6,0.75,Высокий,Низкая,"metricId - Уникальный идентификатор метрики
name - Название метрики
type - Тип метрики (числовая/процент/график)
currentValue - Текущее значение
previousValue - Предыдущее значение
change - Изменение
unit - Единица измерения
lastUpdated - Дата последнего обновления"
USE CASE,Exception Flow E2,Превышение лимитов: Система обнаруживает слишком много данных → Показывает предупреждение → Предлагает применить фильтры,4,0.5,Средний,Низкая,"filterId - Уникальный идентификатор фильтра
dashboardId - Ссылка на дашборд
filterType - Тип фильтра (дата/сегмент/метрика)
filterName - Название фильтра
filterOptions - JSON опции фильтра
defaultValue - Значение по умолчанию
isActive - Флаг активности"
USE CASE,Exception Flow E3,Медленная загрузка: Данные загружаются медленно → Система показывает индикатор загрузки → Кэширует данные для быстрого доступа,4,0.5,Средний,Низкая,"analyticsId - Уникальный идентификатор аналитики
dashboardId - Ссылка на дашборд
dataType - Тип данных
exportFormat - Формат экспорта (CSV/Excel/PDF)
exportPeriod - Период экспорта
recordCount - Количество записей
generatedAt - Время генерации"
USE CASE,Postcondition Success,Дашборд загружен и отображает актуальные данные Виджеты настроены под потребности Мерчант может анализировать метрики,0,0,Высокий,Высокая,"dashboardId - Уникальный идентификатор дашборда
name - Название дашборда
description - Описание дашборда
layout - JSON макет виджетов
isDefault - Флаг по умолчанию
createdAt - Дата создания
updatedAt - Дата обновления

widgetId - Уникальный идентификатор виджета
dashboardId - Ссылка на дашборд
widgetType - Тип виджета (метрика/график/таблица)
widgetName - Название виджета
position - Позиция на дашборде
size - Размер виджета
config - JSON конфигурация
isVisible - Флаг видимости

metricId - Уникальный идентификатор метрики
name - Название метрики
type - Тип метрики (числовая/процент/график)
currentValue - Текущее значение
previousValue - Предыдущее значение
change - Изменение
unit - Единица измерения
lastUpdated - Дата последнего обновления

chartId - Уникальный идентификатор графика
dashboardId - Ссылка на дашборд
chartType - Тип графика (линейный/столбчатый/круговой)
dataSource - Источник данных
xAxis - Ось X
yAxis - Ось Y
refreshInterval - Интервал обновления
isInteractive - Флаг интерактивности

filterId - Уникальный идентификатор фильтра
dashboardId - Ссылка на дашборд
filterType - Тип фильтра (дата/сегмент/метрика)
filterName - Название фильтра
filterOptions - JSON опции фильтра
defaultValue - Значение по умолчанию
isActive - Флаг активности

analyticsId - Уникальный идентификатор аналитики
dashboardId - Ссылка на дашборд
dataType - Тип данных
exportFormat - Формат экспорта (CSV/Excel/PDF)
exportPeriod - Период экспорта
recordCount - Количество записей
generatedAt - Время генерации

alertId - Уникальный идентификатор алерта
dashboardId - Ссылка на дашборд
metricId - Ссылка на метрику
threshold - Пороговое значение
condition - Условие (больше/меньше/равно)
notificationChannels - Каналы уведомлений
isActive - Флаг активности"
USE CASE,Postcondition Failure,Дашборд не загружен Показываются сообщения об ошибках Данные недоступны,0,0,Высокий,Высокая,"dashboardId - Уникальный идентификатор дашборда
name - Название дашборда
description - Описание дашборда
layout - JSON макет виджетов
isDefault - Флаг по умолчанию
createdAt - Дата создания
updatedAt - Дата обновления"
USE CASE,Ключевые метрики,Время загрузки дашборда Количество взаимодействий с виджетами Частота обновлений,0,0,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
dashboardId - Ссылка на дашборд
dataType - Тип данных
exportFormat - Формат экспорта (CSV/Excel/PDF)
exportPeriod - Период экспорта
recordCount - Количество записей
generatedAt - Время генерации"
USE CASE,Приоритет,Высокий,0,0,Высокий,Высокая,
USE CASE,Сложность,Высокая,0,0,Высокий,Высокая,
USE CASE,Зависимости,UI Components Chart Library Filter System Real-time Updates,0,0,Высокий,Высокая,
USE CASE,Общая оценка (Use Case),,98,12.25,Высокий,Высокая,
