Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Main Flow Step 7,Проверка перевода: Игрок просматривает интерфейс → Проверяет качество переводов → Сообщает о проблемах,4,0.5,Средний,Низкая,"translationFeedbackId - Уникальный идентификатор обратной связи по переводу
playerId - Ссылка на игрока
languageId - Ссылка на язык
textKey - Ключ проблемного текста
issueType - Тип проблемы (ошибка/неточность/отсутствует)
feedback - Текст обратной связи
submittedAt - Время отправки"
USE CASE,Main Flow Step 8,Сохранение настроек: Игрок подтверждает выбор → Система сохраняет предпочтения → Применяет настройки ко всем экранам,4,0.5,Средний,Низкая,"languageSettingsId - Уникальный идентификатор настроек языка
playerId - Ссылка на игрока
currentLanguage - Текущий язык
availableLanguages - Список доступных языков
isAutoDetect - Флаг автоматического определения
lastUpdated - Дата последнего обновления"
USE CASE,Alternative Flow A1,Автоматическое определение языка: Система определяет язык по геолокации → Предлагает соответствующий язык → Игрок может подтвердить или изменить,8,1,Средний,Низкая,"autoLanguageDetectionId - Уникальный идентификатор автоматического определения языка
playerId - Ссылка на игрока
detectedLanguage - Определенный язык
detectionMethod - Метод определения (геолокация/браузер/IP)
confidence - Уверенность в определении
detectedAt - Время определения"
USE CASE,Alternative Flow A2,Частичный перевод: Некоторые тексты не переведены → Система показывает оригинал → Позволяет переключиться на другой язык,6,0.75,Средний,Низкая,"translationId - Уникальный идентификатор перевода
languageId - Ссылка на язык
textKey - Ключ текста для перевода
originalText - Оригинальный текст
translatedText - Переведенный текст
translationStatus - Статус перевода (полный/частичный/отсутствует)
lastUpdated - Дата последнего обновления"
USE CASE,Alternative Flow A3,Пользовательские переводы: Игрок может предложить свой перевод → Система сохраняет предложение → Отправляет на модерацию,8,1,Низкий,Низкая,"userTranslationId - Уникальный идентификатор пользовательского перевода
playerId - Ссылка на игрока
languageId - Ссылка на язык
textKey - Ключ текста
suggestedTranslation - Предложенный перевод
isApproved - Флаг одобрения
submittedAt - Время отправки"
USE CASE,Alternative Flow A4,Региональные варианты: Игрок выбирает региональный вариант языка → Система применяет специфичные настройки → Адаптирует под регион,6,0.75,Низкий,Низкая,"regionalVariantId - Уникальный идентификатор регионального варианта
languageId - Ссылка на язык
regionCode - Код региона
variantName - Название варианта
specificSettings - JSON специфичные настройки
isActive - Флаг активности"
USE CASE,Exception Flow E1,Язык недоступен: Выбранный язык не поддерживается → Система показывает ошибку → Предлагает альтернативные варианты,4,0.5,Средний,Низкая,"languageId - Уникальный идентификатор языка
languageCode - Код языка (en/ru/es/fr)
languageName - Название языка
countryCode - Код страны
flagIcon - URL иконки флага
isRTL - Флаг направления текста (справа налево)
isAvailable - Флаг доступности"
USE CASE,Exception Flow E2,Ошибка загрузки переводов: Переводы не загружаются → Система показывает ошибку → Предлагает повторить или использовать другой язык,6,0.75,Средний,Низкая,"translationId - Уникальный идентификатор перевода
languageId - Ссылка на язык
textKey - Ключ текста для перевода
originalText - Оригинальный текст
translatedText - Переведенный текст
translationStatus - Статус перевода (полный/частичный/отсутствует)
lastUpdated - Дата последнего обновления"
USE CASE,Exception Flow E3,Проблемы с RTL: RTL-настройки не применяются → Система показывает предупреждение → Предлагает переключиться на LTR,4,0.5,Средний,Низкая,"rtlSettingsId - Уникальный идентификатор настроек RTL
playerId - Ссылка на игрока
isRTL - Флаг направления текста
textDirection - Направление текста (ltr/rtl)
layoutDirection - Направление макета
mirrorImages - Флаг зеркалирования изображений"
USE CASE,Postcondition Success,Язык переключен Интерфейс локализован Настройки сохранены,0,0,Средний,Средняя,"languageSettingsId - Уникальный идентификатор настроек языка
playerId - Ссылка на игрока
currentLanguage - Текущий язык
availableLanguages - Список доступных языков
isAutoDetect - Флаг автоматического определения
lastUpdated - Дата последнего обновления

languageId - Уникальный идентификатор языка
languageCode - Код языка (en/ru/es/fr)
languageName - Название языка
countryCode - Код страны
flagIcon - URL иконки флага
isRTL - Флаг направления текста (справа налево)
isAvailable - Флаг доступности

translationId - Уникальный идентификатор перевода
languageId - Ссылка на язык
textKey - Ключ текста для перевода
originalText - Оригинальный текст
translatedText - Переведенный текст
translationStatus - Статус перевода (полный/частичный/отсутствует)
lastUpdated - Дата последнего обновления

rtlSettingsId - Уникальный идентификатор настроек RTL
playerId - Ссылка на игрока
isRTL - Флаг направления текста
textDirection - Направление текста (ltr/rtl)
layoutDirection - Направление макета
mirrorImages - Флаг зеркалирования изображений

formattingSettingsId - Уникальный идентификатор настроек форматирования
languageId - Ссылка на язык
dateFormat - Формат даты
timeFormat - Формат времени
numberFormat - Формат чисел
currencyFormat - Формат валюты
decimalSeparator - Разделитель десятичных
thousandSeparator - Разделитель тысяч

translationFeedbackId - Уникальный идентификатор обратной связи по переводу
playerId - Ссылка на игрока
languageId - Ссылка на язык
textKey - Ключ проблемного текста
issueType - Тип проблемы (ошибка/неточность/отсутствует)
feedback - Текст обратной связи
submittedAt - Время отправки

autoLanguageDetectionId - Уникальный идентификатор автоматического определения языка
playerId - Ссылка на игрока
detectedLanguage - Определенный язык
detectionMethod - Метод определения (геолокация/браузер/IP)
confidence - Уверенность в определении
detectedAt - Время определения

userTranslationId - Уникальный идентификатор пользовательского перевода
playerId - Ссылка на игрока
languageId - Ссылка на язык
textKey - Ключ текста
suggestedTranslation - Предложенный перевод
isApproved - Флаг одобрения
submittedAt - Время отправки

regionalVariantId - Уникальный идентификатор регионального варианта
languageId - Ссылка на язык
regionCode - Код региона
variantName - Название варианта
specificSettings - JSON специфичные настройки
isActive - Флаг активности

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (переключение/определение/обратная связь)
playerId - Ссылка на игрока
languageId - Ссылка на язык
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Postcondition Failure,Язык не переключен Интерфейс не локализован Игрок получает уведомление об ошибке,0,0,Средний,Средняя,"languageSettingsId - Уникальный идентификатор настроек языка
playerId - Ссылка на игрока
currentLanguage - Текущий язык
availableLanguages - Список доступных языков
isAutoDetect - Флаг автоматического определения
lastUpdated - Дата последнего обновления"
USE CASE,Ключевые метрики,Популярность языков Качество переводов Удовлетворенность локализацией,0,0,Средний,Средняя,"analyticsId - Уникальный идентификатор аналитики
eventType - Тип события (переключение/определение/обратная связь)
playerId - Ссылка на игрока
languageId - Ссылка на язык
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Приоритет,Средний,0,0,Средний,Средняя,
USE CASE,Сложность,Средняя,0,0,Средний,Средняя,
USE CASE,Зависимости,Translation Service Language Detector RTL Layout Engine Formatting Library,0,0,Средний,Средняя,
USE CASE,Общая оценка (Use Case),,86,10.75,Средний,Средняя,
