Раздел,Поле,Значение,Estimate (часы),Estimate (дни),Приоритет,Сложность,Поля
USE CASE,Main Flow Step 7,Подтверждение покупки: Игрок нажимает "Подтвердить покупку" → Система обрабатывает платеж → Показывает результат операции,16,2,Высокий,Средняя,"orderId - Уникальный идентификатор заказа
playerId - Ссылка на игрока
items - Список товаров
totalAmount - Общая сумма
currency - Валюта
orderDate - Дата заказа
status - Статус заказа"
USE CASE,Main Flow Step 8,Получение товара: Система добавляет товар в инвентарь игрока → Отправляет уведомление → Показывает подтверждение получения,8,1,Высокий,Низкая,"inventoryId - Уникальный идентификатор записи инвентаря
playerId - Ссылка на игрока
itemId - Ссылка на товар
quantity - Количество
acquiredAt - Дата получения
isEquipped - Флаг экипировки"
USE CASE,Alternative Flow A1,Поиск товаров: Игрок вводит поисковый запрос → Система показывает результаты → Позволяет фильтровать по релевантности,10,1.25,Средний,Низкая,"searchId - Уникальный идентификатор поиска
query - Поисковый запрос
results - Список результатов
filters - Примененные фильтры
sortOrder - Порядок сортировки
executedAt - Время выполнения"
USE CASE,Alternative Flow A2,Просмотр избранного: Игрок нажимает на иконку "Избранное" → Система показывает сохраненные товары → Позволяет управлять списком,8,1,Средний,Низкая,"wishlistId - Уникальный идентификатор избранного
playerId - Ссылка на игрока
itemId - Ссылка на товар
addedAt - Дата добавления
isActive - Флаг активности"
USE CASE,Alternative Flow A3,Применение промокода: Игрок вводит промокод → Система проверяет валидность → Применяет скидку к заказу,12,1.5,Средний,Средняя,"promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Alternative Flow A4,Смена темы: Игрок нажимает на настройки → Выбирает тему оформления → Система применяет новую тему,6,0.75,Средний,Низкая,"themeId - Уникальный идентификатор темы
name - Название темы
primaryColor - Основной цвет
secondaryColor - Вторичный цвет
accentColor - Акцентный цвет
backgroundColor - Цвет фона
isDark - Флаг темной темы"
USE CASE,Alternative Flow A5,Смена языка: Игрок выбирает язык из списка → Система перезагружает интерфейс → Отображает контент на выбранном языке,8,1,Средний,Низкая,"localizationId - Уникальный идентификатор локализации
language - Код языка
region - Регион
translations - Переводы текстов
isRTL - Флаг направления текста
lastUpdated - Дата обновления"
USE CASE,Exception Flow E1,Ошибка оплаты: Платеж не может быть обработан → Система показывает сообщение об ошибке → Предлагает повторить или выбрать другой способ,8,1,Высокий,Низкая,"paymentId - Уникальный идентификатор платежа
checkoutId - Ссылка на оформление
paymentMethod - Способ оплаты
amount - Сумма платежа
currency - Валюта
status - Статус платежа
transactionId - ID транзакции"
USE CASE,Exception Flow E2,Товар недоступен: Товар закончился или заблокирован → Система показывает уведомление → Предлагает похожие товары,6,0.75,Высокий,Низкая,"productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
price - Цена товара
currency - Валюта
category - Категория товара
imageUrl - URL изображения
isAvailable - Флаг доступности"
USE CASE,Exception Flow E3,Неверный промокод: Промокод недействителен или истек → Система показывает ошибку → Предлагает проверить код,4,0.5,Средний,Низкая,"promoCodeId - Уникальный идентификатор промокода
code - Код промокода
discountType - Тип скидки (процент/фиксированная)
discountValue - Значение скидки
validFrom - Действительно с
validTo - Действительно до
isActive - Флаг активности"
USE CASE,Postcondition Success,Товар успешно приобретен Добавлен в инвентарь игрока Платеж обработан,0,0,Высокий,Высокая,"orderId - Уникальный идентификатор заказа
playerId - Ссылка на игрока
items - Список товаров
totalAmount - Общая сумма
currency - Валюта
orderDate - Дата заказа
status - Статус заказа

inventoryId - Уникальный идентификатор записи инвентаря
playerId - Ссылка на игрока
itemId - Ссылка на товар
quantity - Количество
acquiredAt - Дата получения
isEquipped - Флаг экипировки

paymentId - Уникальный идентификатор платежа
checkoutId - Ссылка на оформление
paymentMethod - Способ оплаты
amount - Сумма платежа
currency - Валюта
status - Статус платежа
transactionId - ID транзакции

shopId - Уникальный идентификатор магазина
name - Название магазина
description - Описание магазина
theme - Текущая тема
language - Язык интерфейса
currency - Валюта
isActive - Флаг активности

productId - Уникальный идентификатор товара
name - Название товара
description - Описание товара
price - Цена товара
currency - Валюта
category - Категория товара
imageUrl - URL изображения
isAvailable - Флаг доступности

cartId - Уникальный идентификатор корзины
playerId - Ссылка на игрока
items - Список товаров в корзине
totalAmount - Общая сумма
currency - Валюта
createdAt - Дата создания
updatedAt - Дата обновления

checkoutId - Уникальный идентификатор оформления
cartId - Ссылка на корзину
playerId - Ссылка на игрока
paymentMethod - Способ оплаты
shippingAddress - Адрес доставки
totalAmount - Общая сумма
status - Статус оформления

themeId - Уникальный идентификатор темы
name - Название темы
primaryColor - Основной цвет
secondaryColor - Вторичный цвет
accentColor - Акцентный цвет
backgroundColor - Цвет фона
isDark - Флаг темной темы

localizationId - Уникальный идентификатор локализации
language - Код языка
region - Регион
translations - Переводы текстов
isRTL - Флаг направления текста
lastUpdated - Дата обновления

mediaId - Уникальный идентификатор медиа
productId - Ссылка на товар
mediaType - Тип медиа (изображение/видео/3D)
mediaUrl - URL медиа-файла
thumbnailUrl - URL миниатюры
altText - Альтернативный текст
isPrimary - Флаг основного изображения

analyticsId - Уникальный идентификатор аналитики
eventType - Тип события
playerId - Ссылка на игрока
productId - Ссылка на товар
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Postcondition Failure,Покупка не завершена Товар не добавлен в инвентарь Платеж не обработан,0,0,Высокий,Высокая,"orderId - Уникальный идентификатор заказа
playerId - Ссылка на игрока
items - Список товаров
totalAmount - Общая сумма
currency - Валюта
orderDate - Дата заказа
status - Статус заказа"
USE CASE,Ключевые метрики,Время загрузки страниц Конверсия покупок Удовлетворенность пользователей,0,0,Высокий,Высокая,"analyticsId - Уникальный идентификатор аналитики
eventType - Тип события
playerId - Ссылка на игрока
productId - Ссылка на товар
eventData - JSON данные события
timestamp - Время события
sessionId - ID сессии"
USE CASE,Приоритет,Высокий,0,0,Высокий,Высокая,
USE CASE,Сложность,Высокая,0,0,Высокий,Высокая,
USE CASE,Зависимости,Payment Gateway Media Player Theme Engine Localization System,0,0,Высокий,Высокая,
USE CASE,Общая оценка (Use Case),,106,13.25,Высокий,Высокая,



